date,store_id,product_id,sales,day,month,year,weekday,is_weekend,lag_1,rolling_mean_7
2023-01-08,1,1,142,8,1,2023,6,1,132.0,150.85714285714286
2023-01-09,1,1,154,9,1,2023,0,0,142.0,151.0
2023-01-10,1,1,156,10,1,2023,1,0,154.0,151.0
2023-01-11,1,1,163,11,1,2023,2,0,156.0,150.14285714285714
2023-01-12,1,1,156,12,1,2023,3,0,163.0,149.42857142857142
2023-01-13,1,1,148,13,1,2023,4,0,156.0,150.0
2023-01-14,1,1,141,14,1,2023,5,1,148.0,150.14285714285714
2023-01-15,1,1,142,15,1,2023,6,1,141.0,151.42857142857142
2023-01-16,1,1,152,16,1,2023,0,0,142.0,151.42857142857142
2023-01-17,1,1,162,17,1,2023,1,0,152.0,151.14285714285714
2023-01-18,1,1,159,18,1,2023,2,0,162.0,152.0
2023-01-19,1,1,158,19,1,2023,3,0,159.0,151.42857142857142
2023-01-20,1,1,149,20,1,2023,4,0,158.0,151.71428571428572
2023-01-21,1,1,149,21,1,2023,5,1,149.0,151.85714285714286
2023-01-22,1,1,145,22,1,2023,6,1,149.0,153.0
2023-01-23,1,1,151,23,1,2023,0,0,145.0,153.42857142857142
2023-01-24,1,1,171,24,1,2023,1,0,151.0,153.28571428571428
2023-01-25,1,1,154,25,1,2023,2,0,171.0,154.57142857142858
2023-01-26,1,1,164,26,1,2023,3,0,154.0,153.85714285714286
2023-01-27,1,1,154,27,1,2023,4,0,164.0,154.71428571428572
2023-01-28,1,1,139,28,1,2023,5,1,154.0,155.42857142857142
2023-01-29,1,1,152,29,1,2023,6,1,139.0,154.0
2023-01-30,1,1,156,30,1,2023,0,0,152.0,155.0
2023-01-31,1,1,160,31,1,2023,1,0,156.0,155.71428571428572
2023-02-01,1,1,159,1,2,2023,2,0,160.0,154.14285714285714
2023-02-02,1,1,162,2,2,2023,3,0,159.0,154.85714285714286
2023-02-03,1,1,147,3,2,2023,4,0,162.0,154.57142857142858
2023-02-04,1,1,138,4,2,2023,5,1,147.0,153.57142857142858
2023-02-05,1,1,145,5,2,2023,6,1,138.0,153.42857142857142
2023-02-06,1,1,153,6,2,2023,0,0,145.0,152.42857142857142
2023-02-07,1,1,163,7,2,2023,1,0,153.0,152.0
2023-02-08,1,1,164,8,2,2023,2,0,163.0,152.42857142857142
2023-02-09,1,1,166,9,2,2023,3,0,164.0,153.14285714285714
2023-02-10,1,1,155,10,2,2023,4,0,166.0,153.71428571428572
2023-02-11,1,1,145,11,2,2023,5,1,155.0,154.85714285714286
2023-02-12,1,1,143,12,2,2023,6,1,145.0,155.85714285714286
2023-02-13,1,1,162,13,2,2023,0,0,143.0,155.57142857142858
2023-02-14,1,1,168,14,2,2023,1,0,162.0,156.85714285714286
2023-02-15,1,1,179,15,2,2023,2,0,168.0,157.57142857142858
2023-02-16,1,1,162,16,2,2023,3,0,179.0,159.71428571428572
2023-02-17,1,1,160,17,2,2023,4,0,162.0,159.14285714285714
2023-02-18,1,1,149,18,2,2023,5,1,160.0,159.85714285714286
2023-02-19,1,1,149,19,2,2023,6,1,149.0,160.42857142857142
2023-02-20,1,1,149,20,2,2023,0,0,149.0,161.28571428571428
2023-02-21,1,1,168,21,2,2023,1,0,149.0,159.42857142857142
2023-02-22,1,1,162,22,2,2023,2,0,168.0,159.42857142857142
2023-02-23,1,1,159,23,2,2023,3,0,162.0,157.0
2023-02-24,1,1,152,24,2,2023,4,0,159.0,156.57142857142858
2023-02-25,1,1,146,25,2,2023,5,1,152.0,155.42857142857142
2023-02-26,1,1,141,26,2,2023,6,1,146.0,155.0
2023-02-27,1,1,153,27,2,2023,0,0,141.0,153.85714285714286
2023-02-28,1,1,170,28,2,2023,1,0,153.0,154.42857142857142
2023-03-01,1,1,171,1,3,2023,2,0,170.0,154.71428571428572
2023-03-02,1,1,165,2,3,2023,3,0,171.0,156.0
2023-03-03,1,1,154,3,3,2023,4,0,165.0,156.85714285714286
2023-03-04,1,1,151,4,3,2023,5,1,154.0,157.14285714285714
2023-03-05,1,1,151,5,3,2023,6,1,151.0,157.85714285714286
2023-03-06,1,1,157,6,3,2023,0,0,151.0,159.28571428571428
2023-03-07,1,1,172,7,3,2023,1,0,157.0,159.85714285714286
2023-03-08,1,1,167,8,3,2023,2,0,172.0,160.14285714285714
2023-03-09,1,1,159,9,3,2023,3,0,167.0,159.57142857142858
2023-03-10,1,1,160,10,3,2023,4,0,159.0,158.71428571428572
2023-03-11,1,1,155,11,3,2023,5,1,160.0,159.57142857142858
2023-03-12,1,1,143,12,3,2023,6,1,155.0,160.14285714285714
2023-03-13,1,1,162,13,3,2023,0,0,143.0,159.0
2023-03-14,1,1,156,14,3,2023,1,0,162.0,159.71428571428572
2023-03-15,1,1,174,15,3,2023,2,0,156.0,157.42857142857142
2023-03-16,1,1,159,16,3,2023,3,0,174.0,158.42857142857142
2023-03-17,1,1,159,17,3,2023,4,0,159.0,158.42857142857142
2023-03-18,1,1,146,18,3,2023,5,1,159.0,158.28571428571428
2023-03-19,1,1,153,19,3,2023,6,1,146.0,157.0
2023-03-20,1,1,152,20,3,2023,0,0,153.0,158.42857142857142
2023-03-21,1,1,166,21,3,2023,1,0,152.0,157.0
2023-03-22,1,1,169,22,3,2023,2,0,166.0,158.42857142857142
2023-03-23,1,1,169,23,3,2023,3,0,169.0,157.71428571428572
2023-03-24,1,1,164,24,3,2023,4,0,169.0,159.14285714285714
2023-03-25,1,1,153,25,3,2023,5,1,164.0,159.85714285714286
2023-03-26,1,1,154,26,3,2023,6,1,153.0,160.85714285714286
2023-03-27,1,1,155,27,3,2023,0,0,154.0,161.0
2023-03-28,1,1,161,28,3,2023,1,0,155.0,161.42857142857142
2023-03-29,1,1,171,29,3,2023,2,0,161.0,160.71428571428572
2023-03-30,1,1,165,30,3,2023,3,0,171.0,161.0
2023-03-31,1,1,159,31,3,2023,4,0,165.0,160.42857142857142
2023-04-01,1,1,154,1,4,2023,5,1,159.0,159.71428571428572
2023-04-02,1,1,155,2,4,2023,6,1,154.0,159.85714285714286
2023-04-03,1,1,153,3,4,2023,0,0,155.0,160.0
2023-04-04,1,1,173,4,4,2023,1,0,153.0,159.71428571428572
2023-04-05,1,1,170,5,4,2023,2,0,173.0,161.42857142857142
2023-04-06,1,1,161,6,4,2023,3,0,170.0,161.28571428571428
2023-04-07,1,1,155,7,4,2023,4,0,161.0,160.71428571428572
2023-04-08,1,1,144,8,4,2023,5,1,155.0,160.14285714285714
2023-04-09,1,1,152,9,4,2023,6,1,144.0,158.71428571428572
2023-04-10,1,1,165,10,4,2023,0,0,152.0,158.28571428571428
2023-04-11,1,1,168,11,4,2023,1,0,165.0,160.0
2023-04-12,1,1,167,12,4,2023,2,0,168.0,159.28571428571428
2023-04-13,1,1,165,13,4,2023,3,0,167.0,158.85714285714286
2023-04-14,1,1,160,14,4,2023,4,0,165.0,159.42857142857142
2023-04-15,1,1,145,15,4,2023,5,1,160.0,160.14285714285714
2023-04-16,1,1,149,16,4,2023,6,1,145.0,160.28571428571428
2023-04-17,1,1,163,17,4,2023,0,0,149.0,159.85714285714286
2023-04-18,1,1,164,18,4,2023,1,0,163.0,159.57142857142858
2023-04-19,1,1,182,19,4,2023,2,0,164.0,159.0
2023-04-20,1,1,166,20,4,2023,3,0,182.0,161.14285714285714
2023-04-21,1,1,154,21,4,2023,4,0,166.0,161.28571428571428
2023-04-22,1,1,149,22,4,2023,5,1,154.0,160.42857142857142
2023-04-23,1,1,152,23,4,2023,6,1,149.0,161.0
2023-04-24,1,1,160,24,4,2023,0,0,152.0,161.42857142857142
2023-04-25,1,1,160,25,4,2023,1,0,160.0,161.0
2023-04-26,1,1,179,26,4,2023,2,0,160.0,160.42857142857142
2023-04-27,1,1,167,27,4,2023,3,0,179.0,160.0
2023-04-28,1,1,159,28,4,2023,4,0,167.0,160.14285714285714
2023-04-29,1,1,158,29,4,2023,5,1,159.0,160.85714285714286
2023-04-30,1,1,150,30,4,2023,6,1,158.0,162.14285714285714
2023-05-01,1,1,160,1,5,2023,0,0,150.0,161.85714285714286
2023-05-02,1,1,174,2,5,2023,1,0,160.0,161.85714285714286
2023-05-03,1,1,173,3,5,2023,2,0,174.0,163.85714285714286
2023-05-04,1,1,170,4,5,2023,3,0,173.0,163.0
2023-05-05,1,1,159,5,5,2023,4,0,170.0,163.42857142857142
2023-05-06,1,1,153,6,5,2023,5,1,159.0,163.42857142857142
2023-05-07,1,1,163,7,5,2023,6,1,153.0,162.71428571428572
2023-05-08,1,1,170,8,5,2023,0,0,163.0,164.57142857142858
2023-05-09,1,1,160,9,5,2023,1,0,170.0,166.0
